site,date,month,year,observer,garden_fls_bin,garden_percov_natives,garden_native_taxa_flwrng,garden_native_bin,garden_native_flwrs,transects_num_flwrng_taxa,transect_num_fls_UNITadjustment,transect_num_nativeflwr_plants,transect_fl_plant,per_cov_fl_taxa,fl_units_count,fl_unit,calculated_flwrs
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Citrus sp.,1,6,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Punica sp.,1,3,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Erodium sp.,1,5,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Bird of Paradise,,4,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Pink tropical,,2,flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Salvia sp.,,5,flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Fava beans,,960,flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Nasturtium,,3,flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Ceanothus sp.,,80,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Lobularia maritima,,40,Inflorescence,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Calendula sp.,9,300,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Oenothera lindheimeri,3,10,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Salvia microphylla,3,100,Inflorescence,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Salvia leucantha,1,202,Inflorescence,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Lavandula sp.,1,1,Inflorescence,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Senna artemisioides,1,150,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Medicago polymorpha,1,30,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Lobularia maritima,3,215,Inflorescence,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Tagetes lemmonii,1,10,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Dimorphotheca sp.,1,115,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Punica sp.,1,1,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Salvia rosmarius,1,30,Flower,340
La Cumbre,4/1/2022,4,2022,Xan,4,1,1,1,1,13,3271,0,Fragaria sp.,3,35,Flower,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Citrus sp.,6,200,Flower,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Oxalis sp.,1,16,Flower,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Lobularia maritima,1,350,Inflorescence,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Eschscholzia california,1,3,Flower,340
Somos Semillas,4/8/2022,4,2022,Xan ,4,1,1,2,100,10,2086,1,Lavandula stoechas,1,3,Inflorescence,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Gaillardia pulchella,1,2,Head,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Malva sp.,1,8,Flower,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Calendula sp.,1,31,Flower,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Fabaceae sp.,1,11,Flower,340
Somos Semillas,4/8/2022,4,2022,Xan,4,1,1,2,100,10,2086,1,Bougainvillea sp.,1,50,Flower,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Salvia leucophylla 'Amythest Bluff',38,5,Inflorescence,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Salvia mellifera,6,100,Inflorescence,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Sisyrinchium bellum,12.5,340,Flower,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Eriogonum fasiculatum,5,30,Inflorescence,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Eriodictyon californicum ,1,40,Flower,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Ceanothus sp.,1,5,Inflorescence,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Eriophyllum confertiflorum,5,45,Inflorescence,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Saliva mellifera,7,2,Inflorescence,340
SBBG,4/10/2022,4,2022,Xan,4,100,15,3,1000,8,1415,9,Phacelia sp.,1,20,Inflorescence,340
Mesa Harmony,4/13/2022,4,2022,Xan,4,3,3,3,328,6,2544,2,Calendula sp ,24,1400,head,340
Mesa Harmony,4/13/2022,4,2022,Xan,4,3,3,3,328,6,2544,2,Peas,2,21,flower,340
Mesa Harmony,4/13/2022,4,2022,Xan,4,3,3,3,328,6,2544,2,Ceanothus sp.,6,17,Inflorescence,340
Mesa Harmony,4/13/2022,4,2022,Xan,4,3,3,3,328,6,2544,2,Eschscholzia california,12,23,flower,340
Mesa Harmony,4/13/2022,4,2022,Xan,4,3,3,3,328,6,2544,2,Lavandula stoechas,4,200,Inflorescence,340
Mesa Harmony,4/13/2022,4,2022,Xan,4,3,3,3,328,6,2544,2,Punica sp.,3,15,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Salvia leucantha,1,35,Inflorescence,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Salvia microphylla,1,40,Inflorescence,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,white caura,1,50,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Lavendula,1,5,Inflorescence,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Calendula,15,265,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Burr Medic,1,10,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Lobularia maritima,2,150,Inflorescence,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Senna artemisioides,1,40,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Tagetes lemmonii,1,10,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,garden cosmos,1,4,head,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Borage,1,3,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,frangula sp.,1,20,flower,340
La Cumbre,4/15/2022,4,2022,Xan,4,1,1,2,13,13,1702,0,Salvia rosmarius,1,150,flower,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Sisyrinchium bellum,1,58,flower,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Eriodictyon californicum ,1,5,flower,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Eriogonum fasiculatum,1,110,Inflorescence,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Salvia leucophylla,1,50,Inflorescence,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Malacothamnus sp,1,20,flower,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Eriophyllum confertiflorum,1,160,Inflorescence,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Eschscholzia california,1,1,flower,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Saliva mellifera,1,20,Inflorescence,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Salvia 'Bon Bon',1,30,Inflorescence,340
SBBG,4/29/2022,4,2022,Xan,4,100,20,3,1000,10,2034,10,Phacelia sp.,1,100,flower,340
Mesa Harmony,5/10/2022,5,2022,Xan,4,3,2,3,500,6,,1,Calendula sp,,,,340
Mesa Harmony,5/10/2022,5,2022,Xan,4,3,2,3,500,6,,1,Lavendula ,,,,340
Mesa Harmony,5/10/2022,5,2022,Xan,4,3,2,3,500,6,,1,Beanz,,,,340
Mesa Harmony,5/10/2022,5,2022,Xan,4,3,2,3,500,6,,1,Aeonium,1,200,flower,340
Mesa Harmony,5/10/2022,5,2022,Xan,4,3,2,3,500,6,,1,Eschscholzia california,,,,340
Mesa Harmony,5/10/2022,5,2022,Xan,4,3,2,3,500,6,,1,Nasturtium,,,,340
Brad,5/12/2022,5,2022,Xan,3,1,1,1,7,5,182,1,Anagallis avernsis,1,5,flower,340
Brad,5/12/2022,5,2022,Xan,3,1,1,1,7,5,182,1,Calendula,1,5,flower,340
Brad,5/12/2022,5,2022,Xan,3,1,1,1,7,5,182,1,Eschscholzia california,1,7,flower,340
Brad,5/12/2022,5,2022,Xan,3,1,1,1,7,5,182,1,Punica sp.,3,150,flower,340
Brad,5/12/2022,5,2022,Xan,3,1,1,1,7,5,182,1,Fabaceae sp. yellow,1,3,inflorescence,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Calendula,,x,head,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Tagetes erecta,,25,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Guava,,15,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Eschscholzia california,,10,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Lobularia maritima,,40,inflorescence,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Punica sp.,,5,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Centaurea cynaus,,5,head,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Salvia microphylla,,100,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Savlia leucantha,,50,inflorescence,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,white flowers,,70,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,aster flowers,,4,head,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,small yellow flowers,,40,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Borage,,48,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Salvia rosmarius,,50,flower,340
La Cumbre,5/12/2022,5,2022,Xan,4,1,1,1,10,15,837,1,Frangula sp.,,15,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Ocimum kilimandscharicum x basilicum,6,250,inflorescence,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Cistus creticus,1,20,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Eschscholzia california,3,49,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Firecracker plant,3,40,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,chiris? citrus?,1,20,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,sedum,1,100,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Calendula,6,135,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Nasturtium,1,40,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Cornfrey,1,7,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Salvia spathacea,6,250,flower,340
SBCC,5/15/2022,5,2022,Xan,4,1,6,3,500,11,1981,3,Asclepias sp,1,70,flower,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Eriogonum fasiculatum,4,300,inflorescence,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Romneya sp,1,1,flower,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Sisyrinchium bellum,1,5,flower,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Malacothamnus sp,3,33,flower,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Salvia leucophylla,1,50,inflorescence,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Eriophyllum confertiflorum,1,90,inflorescence,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Salvia mellifera,3,200,inflorescence,340
SBBG,5/22/2022,5,2022,Xan,4,100,,4,1000,8,3339,8,Salvia 'Bon Bon',1,20,inflorescence,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Comfrey,,23,flower,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Gaillardia pulchella,,6,head,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Lobularia maritima,,100,inflorescence,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Ruta chalepensis,,10,inflorescence,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Calendula sp,,18,flower,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Brassicaeae sp,,15,inflorescence,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,unknown red,,15,inflorescence,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Salvia spathacea,,2,flower,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Salvia leucantha,,15,inflorescence,340
Somos Semillas,5/22/2022,5,2022,Xan,3,1,4,3,100,10,839,2,Salvia leuchophylla,,15,flower,340
Mesa Harmony,5/27/2022,5,2022,Xan,4,3,11,2,50,5,1020,0,Calendula sp,9,165,flower,340
Mesa Harmony,5/27/2022,5,2022,Xan,4,3,11,2,50,5,1020,0,Nasturtium,1,5,flower,340
Mesa Harmony,5/27/2022,5,2022,Xan,4,3,11,2,50,5,1020,0,Aeonium,3,250,flower,340
Mesa Harmony,5/27/2022,5,2022,Xan,4,3,11,2,50,5,1020,0,Pea plant,1,20,inflorescence,340
Mesa Harmony,5/27/2022,5,2022,Xan,4,3,11,2,50,5,1020,0,Lavendula,3,100,inflorescence,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Eschscholzia california,1,26,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Calendula,6,130,head,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Tagetes erecta,1,35,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Lobularia maritima,1,100,inflorescence,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Punica sp.,,20,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Centaurea cynaus,3,40,head,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Salvia microphylla,3,100,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Oenothera lindheimeri,,150,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Borage,1,75,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Saliva rosmarius,,50,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Frangula sp.,,12,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Salvia leucantha,1,45,inflorescence,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Guava,,7,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Eruca sp.,,50,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Passiflora sp.,1,3,flower,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Lavendula,1,20,inflorescence,340
La Cumbre,5/29/2022,5,2022,Xan,4,1,1,2,26,17,1528,1,Coreopsis tinctoria,1,5,head,340
Somos Semillas,6/11/2022,6,2022,Xan,3,1,2,2,70,6,280,2,Salvia spathacea,1,20,flower,340
Somos Semillas,6/11/2022,6,2022,Xan,3,1,2,2,70,6,280,2,Salvia leuchophylla,1,50,flower,340
Somos Semillas,6/11/2022,6,2022,Xan,3,1,2,2,70,6,280,2,Salvia leucantha,1,15,inflorescence,340
Somos Semillas,6/11/2022,6,2022,Xan,3,1,2,2,70,6,280,2,Brassicaeae sp,1,20,inflorescence,340
Somos Semillas,6/11/2022,6,2022,Xan,3,1,2,2,70,6,280,2,yellow lobe-leaved,1,10,flower,340
Somos Semillas,6/11/2022,6,2022,Xan,3,1,2,2,70,6,280,2,Lavendula stoechas,1,5,inflorescence,340
Mesa Harmony,6/17/2022,6,2022,Xan,4,3,3,3,250,4,1065,1,Eriogonum grande ssp. rubescens,1,40,inflorescence,340
Mesa Harmony,6/17/2022,6,2022,Xan,4,3,3,3,250,4,1065,1,Calendula,6,15,flower,340
Mesa Harmony,6/17/2022,6,2022,Xan,4,3,3,3,250,4,1065,1,Lavendula,3,150,inflorescence,340
Mesa Harmony,6/17/2022,6,2022,Xan,4,3,3,3,250,4,1065,1,Aeonium,1,100,flower,340
SBBG,7/4/2022,7,2022,Xan,5,100,7,5,10000,1,5000,1,Eriogonum fasiculatum,7,1000,inflorescence,340
Mesa Harmony,7/6/2022,7,2022,Xan,4,3,3,4,1123,5,1258,2,Calendula,9,,head,340
Mesa Harmony,7/6/2022,7,2022,Xan,4,3,3,4,1123,5,1258,2,Eriogonum grande ssp. rubescens,1,200,inflorescence,340
Mesa Harmony,7/6/2022,7,2022,Xan,4,3,3,4,1123,5,1258,2,Eschscholzia california,1,3,flower,340
Mesa Harmony,7/6/2022,7,2022,Xan,4,3,3,4,1123,5,1258,2,Lavendula,3,50,inflorescence,340
Mesa Harmony,7/6/2022,7,2022,Xan,4,3,3,4,1123,5,1258,2,Aeonium,1,5,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Salvia microphylla,1,20,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Salvia leucantha,1,30,inflorescence,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,pink-white flower,3,70,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Oenothera lindheimeri,2,130,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Calendula,6,50,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Lobularia maritima,3,550,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Punica sp.,1,5,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Malva?,1,30,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Borage,1,15,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Tagetes erecta,1,13,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Frangula sp.,1,5,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Tagetes lemmonii,1,20,flower,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Purple aster,1,40,head,340
La Cumbre,7/9/2022,7,2022,Xan,4,1,1,2,15,14,1248,0,Coreopsis tinctoria,1,150,head,340
Mesa Harmony,7/29/2022,7,2022,Xan,4,3,2,4,1000,3,,0,Calendula,4.5,,flower,340
Mesa Harmony,7/29/2022,7,2022,Xan,4,3,2,4,1000,3,,0,Lavendula,2.5,,inflorescence,340
Mesa Harmony,7/29/2022,7,2022,Xan,4,3,2,4,1000,3,,0,Fabaceae,1,,flower,340
Mesa Harmony,9/7/2022,9,2022,Xan ,4,3,3,3,100,5,1009,1,Fabaceae,1,7,flower,340
Mesa Harmony,9/7/2022,9,2022,Xan ,4,3,3,3,100,5,1009,1,Lavendula,1,150,inflorescence,340
Mesa Harmony,9/7/2022,9,2022,Xan ,4,3,3,3,100,5,1009,1,Calendula,1,2,flower,340
Mesa Harmony,9/7/2022,9,2022,Xan ,4,3,3,3,100,5,1009,1,Salvia rosmarius,1,50,inflorescence,340
Mesa Harmony,9/7/2022,9,2022,Xan ,4,3,3,3,100,5,1009,1,Ceanothus sp.,1,8,inflorescence,340
