site,date,observer,transect,start_time,end_time,temp_C,wind,wind2,sky,floral_visitor_ID,MoreSpecificID,plant_visiting,num_individuals ,notes,associated_media,Cells to the right autofill; don't enter data,temp_F,month,year,temp_Crounded
SBCC,3/5/2021,Gaby,4,1051,1102,,0,,clear,HB,,Prunus ilicifolia ssp. lyonii,2,,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,17,0,,clear,HB,,Lavandula stoechas,1,,,Cells to the right autofill; don't enter data,63,3,2021,17
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,,0,,clear,HB,,Prunus persica,1,,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,,0,,clear,HB,,Calendula sp.,2,,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,,0,,clear,Fly,Syrphid,Ceanothus sp.,1,,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1145,1155,,0,,clear,HB,,Salvia rosmarinus,15,,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1145,1155,,0,,clear,HB,,Prunus salicina,1,Visited as soon as time ran out,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1156,1206,,0,,clear,HB,,Lavandula stoechas,2,,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1212,1222,18,0,,clear,HB,,Salvia rosmarinus,13,,,Cells to the right autofill; don't enter data,64,3,2021,18
Mesa Harmony,3/5/2021,Gaby,2,1212,1222,,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1212,1222,,0,,clear,HB,,Prunus salicina,1,,,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,1,1020,1027,13,1,,clear,HB,,Lobularia maritima,1,,,Cells to the right autofill; don't enter data,56,3,2021,13
La Cumbre MS,3/12/2021,Gaby,1,1020,1027,,1,,clear,Fly,,Lobularia maritima,1,,,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,2,1029,1038,,1,,clear,Fly,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,3,1040,1045,,1,,clear,HB,,Ocimum kilimandscharicum x basilicum ,1,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,1,1048,1054,,1,,clear,Fly,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,1,1048,1054,,1,,clear,Bug,,Calendula sp.,1,True Bug possibly,,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,2,1055,1103,,1,,clear,Fly,,Diplotaxis tenuifolia,1,,,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,2,1055,1103,,1,,clear,Fly,,Calendula sp.,1,Aphid on flower too ,,Cells to the right autofill; don't enter data,,3,2021,
La Cumbre MS,3/12/2021,Gaby,3,1103,1108,14,1,,clear,HB,,Lobularia maritima,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
Brad,3/12/2021,Gaby,1,1129,1139,14,1,,clear,,,,0,no visitors,,Cells to the right autofill; don't enter data,57,3,2021,14
Brad,3/12/2021,Gaby,2,1142,1152,14,1,,partly cloudy,,,,0,no visitors,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,1,1125,1135,14,0,,clear,HB,,Lavandula stoechas,6,,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,1,1125,1135,14,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,2,1139,1149,14,0,,clear,HB,,Salvia rosmarinus,8,,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,2,1139,1149,14,0,,clear,Fly,Looked like Syrphid,Salvia rosmarinus,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,1,1151,1201,14,0,,clear,HB,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,1,1151,1201,14,0,,clear,HB,,Lavandula stoechas,3,,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,2,1202,1212,14,0,,clear,HB,,Salvia rosmarinus,8,,,Cells to the right autofill; don't enter data,57,3,2021,14
Mesa Harmony,3/17/2021,Gaby,2,1202,1212,14,0,,clear,Fly,Looked like Syrphid,Salvia rosmarinus,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1258,1303,14,0,,clear,HB,,Borago officinalis,2,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1258,1303,14,0,,clear,Bumble,,Borago officinalis,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1258,1303,14,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,2,1305,1310,14,0,,clear,HB,,Salvia leucophylla,2,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,2,1305,1310,14,0,,clear,Fly,,Unkown Purple,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1313,1318,14,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1313,1318,14,0,,clear,HB,,Ceanothus sp.,5,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1313,1318,14,0,,clear,HB,,Borago officinalis,2,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,4,1320,1325,14,0,,clear,HB,,Prunus ilicifolia ssp. lyonii,2,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1331,1336,14,0,,clear,Bumble,,Borago officinalis,2,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1331,1336,14,0,,clear,HB,,Borago officinalis,6,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,1,1331,1336,14,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,2,1337,1342,14,0,,clear,HB,,Salvia leucophylla,2,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,2,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,HB,,Ceanothus sp.,9,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,HB,,Borago officinalis,4,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,Fly,,Ceanothus sp.,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,4,1357,1402,14,0,,clear,HB,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,57,3,2021,14
SBCC,3/17/2021,Gaby,4,1357,1402,14,0,,clear,HB,,Prunus ilicifolia ssp. lyonii,2,,,Cells to the right autofill; don't enter data,57,3,2021,14
La Cumbre MS,3/30/2021,Gaby,1,1115,1123,16,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
La Cumbre MS,3/30/2021,Gaby,2,1124,1131,16,0,,clear,HB,,Diplotaxis tenuifolia,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
La Cumbre MS,3/30/2021,Gaby,2,1124,1131,16,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
La Cumbre MS,3/30/2021,Gaby,3,1132,1137,16,0,,clear,,,,0,no visitors,,Cells to the right autofill; don't enter data,61,3,2021,16
La Cumbre MS,3/30/2021,Gaby,1,1139,1147,16,0,,clear,,,,0,no visitors,,Cells to the right autofill; don't enter data,61,3,2021,16
La Cumbre MS,3/30/2021,Gaby,2,1208,1215,16,0,,clear,HB,,Senna sp.,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
La Cumbre MS,3/30/2021,Gaby,2,1208,1215,16,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
La Cumbre MS,3/30/2021,Gaby,3,1218,1223,16,0,,clear,,,,0,no visitors,,Cells to the right autofill; don't enter data,61,3,2021,16
Brad,3/30/2021,Gaby,1,1337,1347,15,0,,clear,HB,,Citrus sp.,1,,,Cells to the right autofill; don't enter data,59,3,2021,15
Brad,3/30/2021,Gaby,2,1348,1358,15,0,,clear,Carpenter,Female Xylocopa,Lycianthes sp.,1,,,Cells to the right autofill; don't enter data,59,3,2021,15
Brad,3/30/2021,Gaby,2,1348,1358,15,0,,clear,HB,,Lycianthes sp.,1,,,Cells to the right autofill; don't enter data,59,3,2021,15
Brad,3/30/2021,Gaby,1,1402,1412,15,0,,clear,,,,0,no visitors,,Cells to the right autofill; don't enter data,59,3,2021,15
Brad,3/30/2021,Gaby,2,1424,1434,15,0,,clear,Fly,Looked like a Syrphid,Lycianthes sp.,1,,,Cells to the right autofill; don't enter data,59,3,2021,15
Mesa Harmony,3/31/2021,Gaby,1,1120,1130,21,0,,clear,HB,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1120,1130,21,0,,clear,HB,,Lavandula stoechas,3,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1120,1130,21,0,,clear,Bumble,,Lavandula stoechas,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1120,1130,21,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1120,1130,21,0,,clear,HB,,Prunus sp. 'Pluot',1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1131,1141,21,0,,clear,HB,,Salvia rosmarinus,4,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1131,1141,21,0,,clear,HB,,Ceanothus sp.,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1131,1141,21,0,,clear,Bumble,,Prunus salicina,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1131,1141,21,0,,clear,HB,,Prunus salicina,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1149,1159,21,0,,clear,HB,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1149,1159,21,0,,clear,HB,,Lavandula stoechas,3,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1149,1159,21,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,1,1149,1159,21,0,,clear,Fly,,Prunus sp. 'Pluot',1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1201,1211,21,0,,clear,HB,,Salvia rosmarinus,6,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1201,1211,21,0,,clear,SDB,,Salvia rosmarinus,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1201,1211,21,0,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
Mesa Harmony,3/31/2021,Gaby,2,1201,1211,21,0,,clear,HB,,Prunus salicina,1,,,Cells to the right autofill; don't enter data,70,3,2021,21
SBCC,3/31/2021,Gaby,1,1310,1315,23,0,,clear,HB,,Borago officinalis,6,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,1,1310,1315,23,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,5,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,2,1318,1323,23,0,,clear,HB,,Salvia leucophylla,2,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,2,1318,1323,23,0,,clear,Bumble,,Salvia canariensis,1,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1325,1330,23,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,5,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1250,1330,23,0,,clear,HB,,Salvia mellifera,1,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1325,1330,23,0,,clear,HB,,Borago officinalis,4,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1325,1330,23,0,,clear,HB,,Ceanothus sp.,3,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,4,1331,1336,23,0,,clear,HB,,Prunus ilicifolia ssp. lyonii,4,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,1,1338,1343,23,0,,clear,HB,,Borago officinalis,4,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,1,1338,1343,23,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,5,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,2,1344,1349,23,0,,clear,HB,,Salvia leucophylla,1,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,2,1344,1349,23,0,,clear,HB,,Salvia canariensis,1,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1350,1355,23,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,1,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1350,1355,23,0,,clear,HB,,Ceanothus sp.,6,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1350,1355,23,0,,clear,HB,,Salvia mellifera,2,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,3,1350,1355,23,0,,clear,HB,,Borago officinalis,4,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBCC,3/31/2021,Gaby,4,1356,1401,23,0,,clear,HB,,Prunus ilicifolia ssp. lyonii,3,,,Cells to the right autofill; don't enter data,73,3,2021,23
SBBG,4/8/2021,Gaby,1,1054,1104,19,0,,clear,HLB,,Salvia mellifera,2,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,1,1054,1104,19,0,,clear,Bumble,,Salvia mellifera,2,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,1,1054,1104,19,0,,clear,HB,,Salvia mellifera,3,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,1,1054,1104,19,0,,clear,HB,,Salvia leucophylla,10,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,1,1054,1104,19,0,,clear,SSB,,Salvia leucophylla,1,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,1,1054,1104,19,0,,clear,SDB,,Salvia leucophylla,1,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,1,1054,1104,19,0,,clear,SSB,,Eschscholzia californica,1,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,Bumble,,Salvia mellifera,1,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,HB,,Salvia azurea,13,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,Wasp,,Salvia azurea,1,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,Bug,,Salvia azurea,1,,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,HLB,,Phacelia sp.,3,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,HB,,Phacelia sp.,4,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,Wasp,,Phacelia sp.,1,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,MHBB,,Phacelia sp.,1,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,2,1110,1120,19,0,,clear,SHBB,,Phacelia sp.,1,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,66,4,2021,19
SBBG,4/8/2021,Gaby,1,1127,1137,21,0,,clear,Bumble,,Salvia mellifera,3,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,1,1127,1137,21,0,,clear,HB,,Salvia mellifera,10,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,1,1127,1137,21,0,,clear,HB,,Salvia leucophylla,14,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,1,1127,1137,21,0,,clear,HB,,Eriodictyon californicum,1,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,1,1127,1137,21,0,,clear,SHBB,,Eschscholzia californica,1,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,1,1127,1137,21,0,,clear,SHBB,,Sisyrinchium bellum,1,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,Bumble,,Salvia mellifera,1,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,HLB,,Salvia azurea,1,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,HLB,,Sisyrinchium bellum,1,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,HLB,,Salvia 'Bon Bon',1,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,HB,,Salvia 'Bon Bon',6,,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,HB,,Phacelia sp.,3,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,HLB,,Phacelia sp.,1,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,MHBB,,Phacelia sp.,1,KJE note: this might be Polistoma,,Cells to the right autofill; don't enter data,70,4,2021,21
SBBG,4/8/2021,Gaby,2,1141,1151,21,0,,clear,Bumble,,Salvia azurea,1,,,Cells to the right autofill; don't enter data,70,4,2021,21
Mesa Harmony,4/12/2021,Gaby,1,1129,1139,15,2,,clear,Fly,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1129,1139,15,2,,clear,SHBB,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1129,1139,15,2,,clear,HB,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1129,1139,15,2,,clear,HB,,Lavandula stoechas,4,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1129,1139,15,2,,clear,HB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1129,1139,15,2,,clear,Fly,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,2,1140,1150,15,2,,clear,HB,,Ceanothus sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,2,1140,1150,15,2,,clear,HB,,Salvia rosmarinus,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1151,1201,15,2,,clear,HB,,Sedum sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1151,1201,15,2,,clear,HB,,Calendula sp.,3,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,1,1151,1201,15,2,,clear,HB,,Lavandula stoechas,3,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,2,1205,1215,15,2,,clear,HLB,,Ceanothus sp.,1,,,Cells to the right autofill; don't enter data,59,4,2021,15
Mesa Harmony,4/12/2021,Gaby,2,1205,1215,15,2,,clear,HB,,Ceanothus sp.,2,,,Cells to the right autofill; don't enter data,59,4,2021,15
SBCC,4/14/2021,Gaby,1,1335,1340,16,1,,clear,HB,,Borago officinalis,5,,,Cells to the right autofill; don't enter data,61,4,2021,16
SBCC,4/14/2021,Gaby,1,1335,1340,16,1,,clear,SHBB,,Calendula sp.,1,,,Cells to the right autofill; don't enter data,61,4,2021,16
SBCC,4/14/2021,Gaby,1,1335,1340,16,1,,clear,HB,,Ocimum kilimandscharicum x basilicum ,4,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,61,4,2021,16
SBCC,4/14/2021,Gaby,2,1341,1346,16,1,,clear,Bumble,,Salvia leucophylla,1,,,Cells to the right autofill; don't enter data,61,4,2021,16
SBCC,4/14/2021,Gaby,2,1341,1346,16,1,,clear,HB,,Salvia canariensis,1,,,Cells to the right autofill; don't enter data,61,4,2021,16
SBCC,4/14/2021,Gaby,2,1341,1346,16,1,,clear,SSB,,Salvia canariensis,1,,,Cells to the right autofill; don't enter data,61,4,2021,16
SBCC,4/14/2021,Gaby,3,1348,1353,16,1,,clear,HB,,Ocimum kilimandscharicum x basilicum ,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,61,4,2021,16
